combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
411,0.08,0.005,50,0.85,46,0.6027958471970313
412,0.08,0.005,50,0.9,62,0.6319574201422652
413,0.08,0.005,50,0.95,87,0.6285406240130647
414,0.08,0.005,50,0.98,125,0.6443646155722547
415,0.08,0.005,60,0.8,26,0.5138082055521853
416,0.08,0.005,60,0.85,35,0.5909767774469746
417,0.08,0.005,60,0.9,50,0.6361194316411647
418,0.08,0.005,60,0.95,75,0.6414833821523647
419,0.08,0.005,60,0.98,107,0.6392467816161403
420,0.08,0.005,70,0.8,22,0.5379891731289289
421,0.08,0.005,70,0.85,33,0.603345881387326
422,0.08,0.005,70,0.9,43,0.6396708007724903
423,0.08,0.005,70,0.95,63,0.6526205819108697
424,0.08,0.005,70,0.98,86,0.6269230835105508
425,0.08,0.01,30,0.8,42,0.6405515929851064
426,0.08,0.01,30,0.85,58,0.6256441455707515
427,0.08,0.01,30,0.9,76,0.652103871918013
428,0.08,0.01,30,0.95,114,0.6600122173683094
429,0.08,0.01,30,0.98,163,0.6490119472151165
430,0.08,0.01,40,0.8,38,0.5400953333120097
431,0.08,0.01,40,0.85,55,0.6300576711019901
432,0.08,0.01,40,0.9,69,0.6699519746761148
433,0.08,0.01,40,0.95,102,0.6665759186507374
434,0.08,0.01,40,0.98,144,0.6574845575300345
435,0.08,0.01,50,0.8,33,0.5255302092909779
436,0.08,0.01,50,0.85,46,0.6027958471970313
437,0.08,0.01,50,0.9,62,0.6319574201422652
438,0.08,0.01,50,0.95,87,0.6285406240130647
439,0.08,0.01,50,0.98,125,0.6443646155722547
440,0.08,0.01,60,0.8,26,0.5138082055521853
441,0.08,0.01,60,0.85,35,0.5909767774469746
442,0.08,0.01,60,0.9,50,0.6361194316411647
443,0.08,0.01,60,0.95,75,0.6414833821523647
444,0.08,0.01,60,0.98,107,0.6392467816161403
445,0.08,0.01,70,0.8,22,0.5379891731289289
446,0.08,0.01,70,0.85,33,0.603345881387326
447,0.08,0.01,70,0.9,43,0.6396708007724903
448,0.08,0.01,70,0.95,63,0.6526205819108697
449,0.08,0.01,70,0.98,86,0.6269230835105508
450,0.08,0.02,30,0.8,42,0.5920149962575758
451,0.08,0.02,30,0.85,58,0.6296841308384936
452,0.08,0.02,30,0.9,76,0.651567894073392
453,0.08,0.02,30,0.95,113,0.6641759445328264
454,0.08,0.02,30,0.98,161,0.6561115774243018
455,0.08,0.02,40,0.8,36,0.5757804487721374
456,0.08,0.02,40,0.85,50,0.61784922040707
457,0.08,0.02,40,0.9,67,0.6396107471887789
458,0.08,0.02,40,0.95,102,0.6605961603607152
459,0.08,0.02,40,0.98,145,0.6501731557427661
460,0.08,0.02,50,0.8,32,0.5380636971038721
461,0.08,0.02,50,0.85,45,0.6145348222591049
462,0.08,0.02,50,0.9,59,0.6588807473901573
463,0.08,0.02,50,0.95,85,0.66071283882892
464,0.08,0.02,50,0.98,125,0.6389557003028764
465,0.08,0.02,60,0.8,29,0.5447710472614269
466,0.08,0.02,60,0.85,39,0.6015162294846107
467,0.08,0.02,60,0.9,53,0.6423513361791722
468,0.08,0.02,60,0.95,76,0.6663253607797295
469,0.08,0.02,60,0.98,108,0.6528725363225216
470,0.08,0.02,70,0.8,24,0.5525701254726687
471,0.08,0.02,70,0.85,33,0.5885366061247297
472,0.08,0.02,70,0.9,44,0.643782847163079
473,0.08,0.02,70,0.95,66,0.6538791776165651
474,0.08,0.02,70,0.98,92,0.6401877354319504
475,0.08,0.05,30,0.8,39,0.6065147513945475
476,0.08,0.05,30,0.85,55,0.6322064726438518
477,0.08,0.05,30,0.9,74,0.6415095604978933
478,0.08,0.05,30,0.95,113,0.6726186636184732
479,0.08,0.05,30,0.98,161,0.6601217658913126
480,0.08,0.05,40,0.8,35,0.5506032708551818
481,0.08,0.05,40,0.85,49,0.6176090970249988
482,0.08,0.05,40,0.9,66,0.6564038063561751
483,0.08,0.05,40,0.95,99,0.6607831239257365
484,0.08,0.05,40,0.98,141,0.652610857424866
485,0.08,0.05,50,0.8,32,0.5380636971038721
486,0.08,0.05,50,0.85,45,0.6147125618109363
487,0.08,0.05,50,0.9,59,0.6458813027263007
488,0.08,0.05,50,0.95,85,0.6551385273930619
489,0.08,0.05,50,0.98,126,0.6432260205446868
490,0.08,0.05,60,0.8,28,0.5093875507382327
491,0.08,0.05,60,0.85,39,0.600224533683011
492,0.08,0.05,60,0.9,52,0.6527997738844851
493,0.08,0.05,60,0.95,76,0.6603701297108225
494,0.08,0.05,60,0.98,106,0.6474466983019334
495,0.08,0.05,70,0.8,23,0.5417394951132402
496,0.08,0.05,70,0.85,33,0.5950465592421079
497,0.08,0.05,70,0.9,43,0.6350966392806418
498,0.08,0.05,70,0.95,65,0.6515442244932139
499,0.08,0.05,70,0.98,89,0.6375795689636377
500,0.1,0.001,30,0.8,35,0.6066042118699514
501,0.1,0.001,30,0.85,52,0.6310227712530649
502,0.1,0.001,30,0.9,68,0.6619005498570683
503,0.1,0.001,30,0.95,104,0.6621502882962316
504,0.1,0.001,30,0.98,150,0.6621418469070578
505,0.1,0.001,40,0.8,32,0.5897520464316511
506,0.1,0.001,40,0.85,47,0.6290704258033359
507,0.1,0.001,40,0.9,63,0.650096889326529
508,0.1,0.001,40,0.95,91,0.6499514812258566
509,0.1,0.001,40,0.98,133,0.6494989249994603
